city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Los Angeles,Los Angeles,60,"90011,90046,90044,90049,90077,90003,90001,90068,90037,90063,90002,90022,90023,90047,90042,90018,90065,90062,90026,90031,90059,90043,90019,90032,90033,90016,90006,90061,90027,90007,90039,90004,90041,90029,90008,90040,90036,90024,90048,90038,90035,90005,90034,90066,90012,90015,90025,90045,90064,90057,90020,90028,90058,90056,90017,90021,90067,90013,90014,90089",42444,42054,0.9,up,24.6,up
San Diego,San Diego,32,"92127,92131,92129,92130,92128,92126,92119,92124,92105,92154,92120,92115,92117,92113,92116,92114,92103,92102,92111,92122,92104,92121,92123,92110,92108,92109,92107,92139,92101,92106,92145,92140",14224,13087,8.7,up,92.5,up
Grass Valley,Nevada,2,"95949,95945",9189,9125,0.7,up,20.6,up
Placerville,El Dorado,1,95667,7398,7405,-0.1,flat,15.8,up
Corona,Riverside,5,"92883,92882,92880,92881,92879",6887,6091,13.1,up,65.0,up
Lake Arrowhead,San Bernardino,1,92352,6831,6696,2.0,up,6.4,up
Riverside,Riverside,8,"92503,92509,92507,92506,92508,92504,92505,92501",6813,6054,12.5,up,95.9,up
Truckee,Nevada,1,96161,6316,6079,3.9,up,14.0,up
Escondido,San Diego,4,"92026,92027,92029,92025",5867,5472,7.2,up,52.5,up
Big Bear Lake,San Bernardino,1,92315,5718,5571,2.6,up,7.7,up
Oakland,Alameda,14,"94611,94605,94619,94602,94601,94618,94606,94621,94603,94610,94609,94607,94612,94613",5695,5205,9.4,up,60.9,up
Big Bear City,San Bernardino,1,92314,5488,5300,3.5,up,8.8,up
Sonora,Tuolumne,1,95370,5103,5031,1.4,up,10.0,up
South Lake Tahoe,El Dorado,1,96150,5072,4955,2.4,up,13.0,up
Auburn,Placer,2,"95602,95603",5068,4991,1.5,up,23.0,up
Murrieta,Riverside,2,"92562,92563",4742,4151,14.2,up,73.3,up
Arnold,Calaveras,1,95223,4735,4674,1.3,up,8.0,up
Nevada City,Nevada,1,95959,4711,4646,1.4,up,16.5,up
San Bernardino,San Bernardino,7,"92407,92404,92410,92405,92411,92408,92401",4596,4226,8.8,up,49.3,up
Santa Barbara,Santa Barbara,7,"93108,93105,93103,93111,93110,93101,93109",4590,4357,5.3,up,40.0,up
Lake Elsinore,Riverside,2,"92530,92532",4336,3799,14.1,up,54.2,up
Crestline,San Bernardino,1,92325,4280,4257,0.5,up,5.3,up
Moreno Valley,Riverside,4,"92555,92557,92553,92551",4236,3700,14.5,up,85.9,up
Hemet,Riverside,3,"92544,92545,92543",4220,3810,10.8,up,85.2,up
Perris,Riverside,2,"92570,92571",4031,3640,10.7,up,53.6,up
El Cajon,San Diego,3,"92019,92021,92020",3816,3503,8.9,up,58.1,up
Fallbrook,San Diego,1,92028,3793,3519,7.8,up,37.5,up
Ramona,San Diego,1,92065,3768,3480,8.3,up,28.8,up
Oroville,Butte,2,"95966,95965",3671,3604,1.9,up,18.0,up
Glendale,Los Angeles,9,"91208,91206,91202,91207,91201,91205,91203,91204,91210",3536,3361,5.2,up,41.8,up
Temecula,Riverside,3,"92592,92591,92590",3455,3178,8.7,up,69.6,up
Trabuco Canyon,Orange,1,92679,3200,2851,12.2,up,30.4,up
Simi Valley,Ventura,2,"93065,93063",3166,2784,13.7,up,66.6,up
Yucaipa,San Bernardino,1,92399,3122,2732,14.3,up,46.8,up
Canyon Country,Los Angeles,2,"91387,91351",3109,2833,9.7,up,46.0,up
Santa Clarita,Los Angeles,2,"91390,91350",3032,2791,8.6,up,49.0,up
Los Gatos,Santa Clara,3,"95033,95030,95032",3003,2926,2.6,up,63.0,up
Alpine,San Diego,1,91901,3002,2873,4.5,up,18.2,up
Beaumont,Riverside,1,92223,2944,2443,20.5,up,92.5,up
Chino Hills,San Bernardino,1,91709,2924,2627,11.3,up,55.3,up
Valley Center,San Diego,1,92082,2852,2755,3.5,up,24.8,up
Running Springs,San Bernardino,1,92382,2801,2756,1.6,up,7.7,up
Idyllwild,Riverside,1,92549,2775,2756,0.7,up,8.2,up
Calabasas,Los Angeles,1,91302,2757,2642,4.4,up,37.5,up
Beverly Hills,Los Angeles,3,"90210,90211,90212",2755,2725,1.1,up,18.0,up
Redding,Shasta,3,"96003,96001,96002",2754,2518,9.4,up,39.1,up
Bakersfield,Kern,11,"93307,93306,93308,93304,93305,93309,93313,93312,93301,93311,93314",2716,2654,2.3,up,55.9,up
Pollock Pines,El Dorado,1,95726,2691,2701,-0.4,flat,9.9,up
Orinda,Contra Costa,1,94563,2674,2617,2.2,up,119.7,up
Palmdale,Los Angeles,4,"93551,93550,93552,93591",2632,2438,8.0,up,56.5,up
San Marcos,San Diego,2,"92078,92069",2593,2320,11.8,up,87.7,up
Shingle Springs,El Dorado,1,95682,2577,2525,2.1,up,20.2,up
Sylmar,Los Angeles,1,91342,2500,2267,10.3,up,34.9,up
Compton,Los Angeles,3,"90221,90220,90222",2497,2445,2.1,up,29.0,up
Malibu,Los Angeles,1,90265,2492,2528,-1.4,down,6.8,up
Hesperia,San Bernardino,2,"92345,92344",2456,2213,11.0,up,56.6,up
Santa Rosa,Sonoma,6,"95404,95409,95403,95405,95407,95401",2400,2413,-0.5,down,67.5,up
Thousand Oaks,Ventura,2,"91362,91360",2400,2283,5.1,up,84.1,up
Long Beach,Los Angeles,11,"90805,90813,90806,90810,90802,90804,90803,90807,90814,90808,90815",2367,2317,2.2,up,44.0,up
Fontana,San Bernardino,3,"92336,92335,92337",2320,2131,8.9,up,74.8,up
Castaic,Los Angeles,1,91384,2225,2128,4.6,up,33.7,up
Pioneer,Amador,1,95666,2216,2207,0.4,flat,8.1,up
Pasadena,Los Angeles,6,"91107,91103,91104,91105,91106,91101",2183,2144,1.8,up,46.2,up
Berkeley,Alameda,9,"94708,94705,94707,94704,94703,94709,94702,94710,94720",2178,1970,10.6,up,75.6,up
Twain Harte,Tuolumne,1,95383,2145,2123,1.0,up,6.5,up
Mariposa,Mariposa,1,95338,2139,2126,0.6,up,10.6,up
Groveland,Tuolumne,1,95321,2117,2130,-0.6,down,5.4,up
Tehachapi,Kern,1,93561,2108,2018,4.5,up,26.6,up
Magalia,Butte,1,95954,2105,2097,0.4,flat,8.1,up
Santa Cruz,Santa Cruz,4,"95060,95065,95062,95064",2056,2038,0.9,up,74.0,up
San Jose,Santa Clara,27,"95120,95127,95111,95148,95112,95135,95122,95123,95138,95116,95132,95136,95121,95124,95125,95126,95110,95129,95118,95128,95134,95131,95119,95133,95117,95139,95130",2053,1880,9.2,up,78.2,up
Paradise,Butte,1,95969,2028,1967,3.1,up,14.7,up
San Francisco,San Francisco,24,"94112,94110,94122,94134,94114,94117,94121,94116,94131,94118,94124,94127,94123,94115,94133,94132,94109,94107,94103,94102,94105,94158,94108,94111",2016,1861,8.3,up,72.5,up
Irvine,Orange,9,"92618,92603,92620,92602,92612,92604,92614,92606,92617",2013,1812,11.1,up,119.9,up
Colfax,Placer,1,95713,2006,1984,1.1,up,15.6,up
Wildomar,Riverside,1,92595,2006,1771,13.3,up,46.1,up
Woodland Hills,Los Angeles,2,"91364,91367",1975,1906,3.6,up,52.4,up
Topanga,Los Angeles,1,90290,1972,1966,0.3,flat,2.7,up
Sugarloaf,San Bernardino,1,92386,1950,1900,2.6,up,8.2,up
Oceanside,San Diego,4,"92057,92056,92058,92054",1922,1763,9.0,up,110.4,up
Victorville,San Bernardino,3,"92392,92395,92394",1919,1689,13.6,up,91.7,up
Chula Vista,San Diego,5,"91914,91913,91915,91910,91911",1878,1682,11.7,up,128.8,up
Lafayette,Contra Costa,1,94549,1869,1773,5.4,up,91.3,up
Lancaster,Los Angeles,3,"93535,93536,93534",1849,1659,11.5,up,101.1,up
Anaheim,Orange,7,"92808,92807,92804,92805,92801,92806,92802",1818,1642,10.7,up,81.4,up
Whittier,Los Angeles,6,"90601,90605,90602,90606,90604,90603",1816,1699,6.9,up,50.1,up
Diamond Bar,Los Angeles,1,91765,1808,1655,9.2,up,68.2,up
Danville,Contra Costa,2,"94506,94526",1797,1745,3.0,up,98.3,up
Encino,Los Angeles,2,"91436,91316",1792,1750,2.4,up,52.2,up
Penn Valley,Nevada,1,95946,1748,1730,1.0,up,24.6,up
Foresthill,Placer,1,95631,1742,1715,1.6,up,10.1,up
Coarsegold,Madera,1,93614,1735,1701,2.0,up,20.5,up
Lakeside,San Diego,1,92040,1732,1564,10.7,up,68.7,up
Wrightwood,San Bernardino,1,92397,1726,1682,2.6,up,7.0,up
Sherman Oaks,Los Angeles,2,"91423,91403",1704,1696,0.5,flat,34.6,up
Agoura Hills,Los Angeles,1,91301,1702,1626,4.7,up,41.3,up
Ojai,Ventura,1,93023,1684,1603,5.1,up,24.0,up
Redlands,San Bernardino,2,"92373,92374",1681,1515,11.0,up,50.1,up
El Dorado Hills,El Dorado,1,95762,1668,1621,2.9,up,77.7,up
Carlsbad,San Diego,4,"92009,92011,92010,92008",1663,1537,8.2,up,116.5,up
Yorba Linda,Orange,2,"92887,92886",1662,1521,9.3,up,59.1,up
Pomona,Los Angeles,3,"91766,91767,91768",1656,1575,5.1,up,63.2,up
Tahoe City,Placer,1,96145,1654,1572,5.2,up,20.6,up
Oakhurst,Madera,1,93644,1650,1589,3.8,up,17.7,up
Jamul,San Diego,1,91935,1626,1584,2.7,up,19.1,up
San Clemente,Orange,2,"92673,92672",1625,1402,15.9,up,86.4,up
Westlake Village,Ventura,1,91361,1585,1474,7.5,up,45.8,up
Mammoth Lakes,Mono,1,93546,1583,1372,15.4,up,53.8,up
Poway,San Diego,1,92064,1569,1434,9.4,up,71.7,up
Laguna Beach,Orange,1,92651,1568,1434,9.3,up,48.0,up
South Gate,Los Angeles,1,90280,1562,1531,2.0,up,37.2,up
Banning,Riverside,1,92220,1552,1340,15.8,up,78.0,up
Bell Gardens,Los Angeles,1,90201,1548,1500,3.2,up,44.5,up
Boulder Creek,Santa Cruz,1,95006,1542,1492,3.4,up,29.4,up
Shaver Lake,Fresno,1,93664,1534,1507,1.8,up,11.5,up
Menifee,Riverside,1,92584,1522,1325,14.9,up,109.3,up
Scotts Valley,Santa Cruz,1,95066,1484,1454,2.1,up,55.2,up
Vista,San Diego,3,"92084,92081,92083",1483,1439,3.1,up,58.5,up
Kelseyville,Lake,1,95451,1448,1385,4.5,up,11.0,up
Rancho Cucamonga,San Bernardino,4,"91739,91737,91701,91730",1445,1334,8.3,up,72.4,up
Tujunga,Los Angeles,1,91042,1442,1322,9.1,up,30.9,up
Inglewood,Los Angeles,5,"90304,90303,90301,90302,90305",1426,1363,4.6,up,26.0,up
Felton,Santa Cruz,1,95018,1421,1417,0.3,flat,50.1,up
Huntington Park,Los Angeles,1,90255,1410,1372,2.8,up,36.4,up
Pacific Palisades,Los Angeles,1,90272,1391,1557,-10.7,down,8.9,up
Sun City,Riverside,2,"92585,92586",1352,1178,14.8,up,143.4,up
Phelan,San Bernardino,1,92371,1351,1243,8.7,up,39.3,up
Rancho Santa Margarita,Orange,1,92688,1351,1093,23.6,up,78.0,up
Meadow Vista,Placer,1,95722,1334,1347,-1.0,down,9.2,up
Carmel,Monterey,1,93923,1323,1259,5.1,up,23.9,up
Murphys,Calaveras,1,95247,1308,1315,-0.5,down,10.0,up
Burbank,Los Angeles,5,"91504,91501,91505,91506,91502",1301,1182,10.1,up,66.7,up
Porter Ranch,Los Angeles,1,91326,1301,1098,18.5,up,82.4,up
Apple Valley,San Bernardino,2,"92308,92307",1295,1137,13.9,up,82.5,up
Ventura,Ventura,3,"93001,93003,93004",1279,1184,8.0,up,53.6,up
Pacoima,Los Angeles,1,91331,1271,1218,4.4,up,24.3,up
Salinas,Monterey,5,"93907,93908,93905,93906,93901",1270,1210,5.0,up,26.0,up
Winchester,Riverside,1,92596,1262,996,26.7,up,196.4,up
Aptos,Santa Cruz,1,95003,1248,1206,3.5,up,95.1,up
La Puente,Los Angeles,2,"91744,91746",1237,1225,1.0,up,32.3,up
Santee,San Diego,1,92071,1237,1092,13.3,up,84.8,up
Tarzana,Los Angeles,1,91356,1227,1223,0.3,flat,52.5,up
Ladera Ranch,Orange,1,92694,1225,1023,19.7,up,96.0,up
Ukiah,Mendocino,1,95482,1225,1144,7.1,up,38.8,up
Newbury Park,Ventura,1,91320,1217,1092,11.4,up,67.2,up
Newhall,Los Angeles,1,91321,1208,1096,10.2,up,37.5,up
Valencia,Los Angeles,2,"91354,91355",1206,1074,12.3,up,119.6,up
Highland,San Bernardino,1,92346,1203,1070,12.4,up,69.8,up
Quail Valley,Riverside,1,92587,1180,1058,11.5,up,81.2,up
La Canada Flintridge,Los Angeles,1,91011,1178,1104,6.7,up,36.8,up
Chatsworth,Los Angeles,1,91311,1138,1064,7.0,up,56.7,up
Pine Grove,Amador,1,95665,1138,1125,1.2,up,8.1,up
La Crescenta,Los Angeles,1,91214,1136,1034,9.9,up,51.2,up
Canoga Park,Los Angeles,2,"91304,91303",1100,1024,7.4,up,46.3,up
Julian,San Diego,1,92036,1078,1067,1.0,up,10.5,up
Westwood,Plumas,1,96137,1074,1055,1.8,up,13.9,up
Colton,San Bernardino,1,92324,1069,991,7.9,up,47.9,up
North Hollywood,Los Angeles,4,"91605,91606,91601,91602",1067,1059,0.8,up,42.3,up
Santa Ana,Orange,6,"92705,92704,92703,92707,92701,92706",1062,1012,4.9,up,60.9,up
Camino,El Dorado,1,95709,1061,1065,-0.4,flat,13.9,up
Napa,Napa,2,"94558,94559",1061,1014,4.6,up,32.5,up
Guerneville,Sonoma,1,95446,1060,1009,5.1,up,14.5,up
Lynwood,Los Angeles,1,90262,1060,1012,4.7,up,31.6,up
Spring Valley,San Diego,2,"91977,91978",1051,981,7.1,up,75.8,up
Laguna Niguel,Orange,1,92677,1049,885,18.5,up,101.1,up
Calimesa,Riverside,1,92320,1045,907,15.2,up,58.3,up
Hacienda Heights,Los Angeles,1,91745,1042,948,9.9,up,58.3,up
Sunland,Los Angeles,1,91040,1040,971,7.1,up,37.9,up
Willits,Mendocino,1,95490,1024,981,4.4,up,15.0,up
San Jacinto,Riverside,2,"92583,92582",1022,926,10.4,up,87.4,up
Studio City,Los Angeles,1,91604,1022,1013,0.9,up,30.4,up
Ontario,San Bernardino,3,"91761,91762,91764",1009,942,7.1,up,74.4,up
Rancho Santa Fe,San Diego,2,"92067,92091",1003,1016,-1.3,down,92.4,up
Watsonville,Santa Cruz,1,95076,1002,938,6.8,up,70.9,up
Twin Peaks,San Bernardino,1,92391,997,985,1.2,up,5.7,up
Altadena,Los Angeles,1,91001,992,1001,-0.9,down,4.5,up
Ben Lomond,Santa Cruz,1,95005,991,983,0.8,up,45.2,up
Pine Mountain Club,Kern,1,93222,985,970,1.5,up,16.2,up
Stevenson Ranch,Los Angeles,1,91381,973,856,13.7,up,55.4,up
Camarillo,Ventura,2,"93012,93010",945,841,12.4,up,93.3,up
Acton,Los Angeles,1,93510,943,913,3.3,up,20.0,up
Sun Valley,Los Angeles,1,91352,940,877,7.2,up,29.2,up
Mill Valley,Marin,1,94941,935,840,11.3,up,48.7,up
Rialto,San Bernardino,2,"92376,92377",933,861,8.4,up,71.9,up
Rowland Heights,Los Angeles,1,91748,933,807,15.6,up,92.6,up
Walnut,Los Angeles,1,91789,924,814,13.5,up,102.0,up
Fresno,Fresno,19,"93702,93706,93727,93722,93728,93725,93703,93720,93705,93650,93704,93726,93711,93701,93730,93723,93710,93721,93737",923,913,1.1,up,43.1,up
Glendora,Los Angeles,2,"91741,91740",915,814,12.4,up,53.6,up
Long Barn,Tuolumne,1,95335,911,892,2.1,up,3.5,up
Shingletown,Shasta,1,96088,905,880,2.8,up,7.7,up
Copperopolis,Calaveras,1,95228,902,901,0.1,flat,18.7,up
Clearlake,Lake,1,95422,897,844,6.3,up,24.5,up
Olympic Valley,Placer,1,96146,897,874,2.6,up,18.9,up
West Covina,Los Angeles,3,"91791,91790,91792",897,791,13.4,up,63.1,up
Frazier Park,Kern,1,93225,895,882,1.5,up,26.2,up
Van Nuys,Los Angeles,4,"91406,91405,91401,91411",880,846,4.0,up,40.3,up
Moorpark,Ventura,1,93021,878,789,11.3,up,56.9,up
Garden Valley,El Dorado,1,95633,875,882,-0.8,down,18.4,up
Carmel Valley,Monterey,1,93924,873,852,2.5,up,19.8,up
Sacramento,Sacramento,28,"95828,95823,95822,95820,95838,95829,95815,95818,95824,95833,95816,95817,95827,95835,95821,95826,95864,95842,95832,95834,95841,95811,95825,95831,95819,95814,95837,95830",862,876,-1.6,down,56.4,up
Mount Shasta,Siskiyou,1,96067,854,803,6.4,up,43.1,up
Alamo,Contra Costa,1,94507,845,827,2.2,up,99.3,up
Paso Robles,San Luis Obispo,1,93446,834,758,10.0,up,47.8,up
Tahoma,El Dorado,1,96142,833,803,3.7,up,17.1,up
Atascadero,San Luis Obispo,1,93422,826,806,2.5,up,53.5,up
Palm Springs,Riverside,2,"92264,92262",824,714,15.4,up,193.8,up
Georgetown,El Dorado,1,95634,817,814,0.4,flat,18.8,up
Jamestown,Tuolumne,1,95327,817,786,3.9,up,17.1,up
Castro Valley,Alameda,2,"94552,94546",816,713,14.4,up,73.5,up
Anderson,Shasta,1,96007,814,758,7.4,up,21.7,up
Carnelian Bay,Placer,1,96140,813,781,4.1,up,18.3,up
La Verne,Los Angeles,1,91750,813,745,9.1,up,55.2,up
Oak Park,Ventura,1,91377,810,729,11.1,up,70.7,up
Yucca Valley,San Bernardino,1,92284,793,678,17.0,up,75.2,up
Wofford Heights,Kern,1,93285,792,792,0.0,flat,5.6,up
San Luis Obispo,San Luis Obispo,2,"93401,93405",791,759,4.2,up,74.9,up
Cottonwood,Tehama,1,96022,788,734,7.4,up,21.1,up
El Dorado,El Dorado,1,95623,785,755,4.0,up,25.0,up
Granada Hills,Los Angeles,1,91344,784,772,1.6,up,48.7,up
Stockton,San Joaquin,11,"95205,95206,95215,95204,95203,95207,95210,95209,95212,95202,95219",783,774,1.2,up,44.1,up
Cool,El Dorado,1,95614,779,758,2.8,up,21.7,up
Arcadia,Los Angeles,2,"91006,91007",776,749,3.6,up,73.8,up
Tuolumne,Tuolumne,1,95379,775,773,0.3,flat,4.7,up
Mi Wuk Village,Tuolumne,1,95346,774,771,0.4,flat,9.1,up
Somerset,El Dorado,1,95684,774,770,0.5,up,4.5,up
Lake Isabella,Kern,1,93240,764,734,4.1,up,18.2,up
West Hills,Los Angeles,1,91307,764,766,-0.3,flat,40.3,up
Monrovia,Los Angeles,1,91016,749,674,11.1,up,37.8,up
El Monte,Los Angeles,2,"91732,91731",748,749,-0.1,flat,37.2,up
Anza,Riverside,1,92539,746,763,-2.2,down,21.1,up
Valley Springs,Calaveras,1,95252,746,759,-1.7,down,22.4,up
Azusa,Los Angeles,1,91702,745,647,15.1,up,54.8,up
Soquel,Santa Cruz,1,95073,739,725,1.9,up,89.3,up
Springville,Tulare,1,93265,738,727,1.5,up,22.8,up
Adelanto,San Bernardino,1,92301,736,636,15.7,up,80.2,up
San Dimas,Los Angeles,1,91773,735,656,12.0,up,57.7,up
San Juan Capistrano,Orange,1,92675,731,621,17.7,up,107.7,up
Loomis,Placer,1,95650,725,695,4.3,up,38.7,up
Saratoga,Santa Clara,1,95070,719,691,4.1,up,69.8,up
Granite Bay,Placer,1,95746,709,692,2.5,up,46.0,up
Sonoma,Sonoma,1,95476,704,655,7.5,up,49.9,up
Baldwin Park,Los Angeles,1,91706,693,668,3.7,up,29.7,up
Rescue,El Dorado,1,95672,693,686,1.0,up,18.7,up
Fawnskin,San Bernardino,1,92333,692,666,3.9,up,4.9,up
Novato,Marin,3,"94947,94945,94949",689,615,12.0,up,83.6,up
Green Valley Lake,San Bernardino,1,92341,683,675,1.2,up,4.0,up
Rosemead,Los Angeles,1,91770,680,633,7.4,up,78.8,up
North Fork,Madera,1,93643,669,688,-2.8,down,13.0,up
Downey,Los Angeles,3,"90242,90241,90240",668,644,3.7,up,51.9,up
Eureka,Humboldt,2,"95503,95501",665,503,32.2,up,107.9,up
La Habra,Orange,1,90631,657,636,3.3,up,46.5,up
Angels Camp,Calaveras,1,95222,656,628,4.5,up,16.5,up
Los Altos,Santa Clara,2,"94022,94024",653,621,5.2,up,56.0,up
Homewood,Placer,1,96141,648,631,2.7,up,27.7,up
Desert Hot Springs,Riverside,2,"92240,92241",647,589,9.8,up,88.8,up
Jackson,Amador,1,95642,641,638,0.5,flat,18.1,up
Kings Beach,Placer,1,96143,641,607,5.6,up,10.6,up
Mission Viejo,Orange,2,"92692,92691",638,566,12.7,up,155.0,up
Redwood City,San Mateo,4,"94062,94061,94063,94065",637,611,4.3,up,45.8,up
Newcastle,Placer,1,95658,636,646,-1.5,down,37.7,up
Susanville,Lassen,1,96130,635,616,3.1,up,38.7,up
Three Rivers,Tulare,1,93271,635,632,0.5,flat,10.1,up
Clovis,Fresno,3,"93619,93612,93611",634,560,13.2,up,69.7,up
Encinitas,San Diego,1,92024,633,595,6.4,up,83.6,up
Moraga,Contra Costa,1,94556,632,582,8.6,up,104.9,up
Hayward,Alameda,4,"94542,94541,94544,94545",625,593,5.4,up,76.5,up
Healdsburg,Sonoma,1,95448,623,622,0.2,flat,13.3,up
Diamond Springs,El Dorado,1,95619,622,612,1.6,up,20.2,up
Morgan Hill,Santa Clara,1,95037,621,596,4.2,up,50.9,up
Brea,Orange,2,"92821,92823",616,563,9.4,up,72.2,up
Reseda,Los Angeles,1,91335,615,588,4.6,up,33.3,up
Alhambra,Los Angeles,2,"91801,91803",612,576,6.2,up,60.4,up
Silverado,Orange,1,92676,611,594,2.9,up,7.4,up
Sutter Creek,Amador,1,95685,611,603,1.3,up,12.5,up
Portola,Plumas,1,96122,605,593,2.0,up,16.0,up
Quincy,Plumas,1,95971,600,584,2.7,up,10.4,up
Blairsden Graeagle,Plumas,1,96103,593,569,4.2,up,7.4,up
Walnut Creek,Contra Costa,4,"94595,94597,94596,94598",592,536,10.4,up,82.9,up
Saint Helena,Napa,1,94574,591,573,3.1,up,18.6,up
Martinez,Contra Costa,1,94553,589,543,8.5,up,86.0,up
Lake Hughes,Los Angeles,1,93532,588,576,2.1,up,12.7,up
Auberry,Fresno,1,93602,587,575,2.1,up,10.8,up
Bass Lake,Madera,1,93604,585,575,1.7,up,17.3,up
Orange,Orange,5,"92869,92867,92868,92866,92865",585,536,9.1,up,106.9,up
Aguanga,Riverside,1,92536,580,577,0.5,up,15.4,up
Aliso Viejo,Orange,1,92656,580,521,11.3,up,133.6,up
Newport Coast,Orange,1,92657,578,506,14.2,up,93.9,up
Nuevo,Riverside,1,92567,577,519,11.2,up,71.3,up
Santa Paula,Ventura,1,93060,577,548,5.3,up,40.2,up
Norwalk,Los Angeles,1,90650,576,561,2.7,up,26.1,up
Duarte,Los Angeles,2,"91010,91008",571,510,12.0,up,33.2,up
Calistoga,Napa,1,94515,565,546,3.5,up,31.6,up
Carson,Los Angeles,2,"90746,90745",564,561,0.5,up,40.6,up
San Rafael,Marin,2,"94901,94903",559,485,15.3,up,72.0,up
Pinon Hills,San Bernardino,1,92372,555,513,8.2,up,28.9,up
Chico,Butte,3,"95928,95973,95926",553,550,0.5,up,21.7,up
Pico Rivera,Los Angeles,1,90660,549,528,4.0,up,31.3,up
Covina,Los Angeles,3,"91724,91722,91723",547,532,2.8,up,57.4,up
Loma Linda,San Bernardino,1,92354,541,448,20.8,up,101.8,up
Sierra Madre,Los Angeles,1,91024,541,488,10.9,up,23.9,up
Upland,San Bernardino,2,"91784,91786",540,509,6.1,up,65.8,up
Homeland,Riverside,1,92548,536,487,10.1,up,48.5,up
West Hollywood,Los Angeles,1,90069,536,537,-0.2,flat,57.5,up
Pleasanton,Alameda,2,"94566,94588",533,525,1.5,up,64.6,up
Soda Springs,Nevada,1,95728,533,509,4.7,up,15.9,up
Lakeport,Lake,1,95453,524,489,7.2,up,37.0,up
Chino,San Bernardino,2,"91710,91708",523,465,12.5,up,117.3,up
El Sobrante,Contra Costa,1,94803,521,482,8.1,up,94.4,up
Arroyo Grande,San Luis Obispo,1,93420,520,484,7.4,up,55.1,up
Campo,San Diego,1,91906,520,497,4.6,up,20.3,up
Fairfield,Solano,2,"94534,94533",517,489,5.7,up,82.5,up
Middletown,Lake,1,95461,515,498,3.4,up,11.4,up
San Ramon,Contra Costa,2,"94583,94582",514,485,6.0,up,113.7,up
Tahoe Vista,Placer,1,96148,514,485,6.0,up,14.7,up
Richmond,Contra Costa,3,"94804,94805,94801",511,448,14.1,up,54.5,up
San Fernando,Los Angeles,1,91340,506,483,4.8,up,24.2,up
Pine Valley,San Diego,1,91962,504,486,3.7,up,19.4,up
Cedarpines Park,San Bernardino,1,92322,498,502,-0.8,down,7.5,up
Lower Lake,Lake,1,95457,491,486,1.0,up,8.5,up
Fort Bragg,Mendocino,1,95437,490,430,14.0,up,41.0,up
Crescent City,Del Norte,1,95531,489,379,29.0,up,75.5,up
Forest Falls,San Bernardino,1,92339,489,490,-0.2,flat,10.1,up
Montebello,Los Angeles,1,90640,485,461,5.2,up,44.5,up
Torrance,Los Angeles,5,"90501,90502,90505,90503,90504",484,453,6.8,up,61.8,up
Sausalito,Marin,1,94965,481,444,8.3,up,34.1,up
Santa Maria,Santa Barbara,3,"93455,93454,93458",478,471,1.5,up,81.2,up
Foothill Ranch,Orange,1,92610,477,409,16.6,up,79.4,up
Yreka,Siskiyou,1,96097,477,460,3.7,up,51.3,up
Gardena,Los Angeles,3,"90247,90249,90248",475,462,2.8,up,37.1,up
Red Bluff,Tehama,1,96080,474,438,8.2,up,17.7,up
Bellflower,Los Angeles,1,90706,473,454,4.2,up,76.0,up
Forest Ranch,Butte,1,95942,468,489,-4.3,down,7.7,up
Bonsall,San Diego,1,92003,465,446,4.3,up,64.0,up
Mentone,San Bernardino,1,92359,460,420,9.5,up,32.5,up
Shasta Lake,Shasta,2,"96019,96089",460,427,7.7,up,30.2,up
South El Monte,Los Angeles,1,91733,457,439,4.1,up,60.2,up
Hidden Valley Lake,Lake,1,95467,453,406,11.6,up,42.0,up
Paramount,Los Angeles,1,90723,453,444,2.0,up,35.8,up
Porterville,Tulare,1,93257,453,416,8.9,up,101.0,up
Norco,Riverside,1,92860,452,387,16.8,up,98.5,up
Weed,Siskiyou,1,96094,447,429,4.2,up,37.9,up
Ione,Amador,1,95640,444,416,6.7,up,54.6,up
Santa Monica,Los Angeles,5,"90402,90405,90404,90403,90401",443,438,1.1,up,92.1,up
Westminster,Orange,1,92683,443,427,3.7,up,138.5,up
Monterey,Monterey,1,93940,435,410,6.1,up,35.3,up
West Point,Calaveras,1,95255,433,427,1.4,up,3.1,up
Mountain Center,Riverside,1,92561,432,420,2.9,up,18.6,up
San Gabriel,Los Angeles,2,"91776,91775",432,418,3.3,up,69.2,up
Claremont,Los Angeles,1,91711,431,378,14.0,up,62.9,up
Hawthorne,Los Angeles,1,90250,431,428,0.7,up,32.9,up
San Andreas,Calaveras,1,95249,429,426,0.7,up,16.1,up
Sebastopol,Sonoma,1,95472,428,406,5.4,up,28.1,up
Lake Forest,Orange,1,92630,426,412,3.4,up,79.1,up
Maywood,Los Angeles,1,90270,426,429,-0.7,down,29.2,up
Cobb,Lake,1,95426,423,414,2.2,up,11.0,up
Descanso,San Diego,1,91916,423,422,0.2,flat,9.6,up
Yokuts,Fresno,1,93675,419,405,3.5,up,18.1,up
Joshua Tree,San Bernardino,1,92252,416,339,22.7,up,83.2,up
San Pedro,Los Angeles,2,"90731,90732",416,414,0.5,flat,37.5,up
El Cerrito,Contra Costa,1,94530,413,372,11.0,up,79.7,up
Soulsbyville,Tuolumne,1,95372,413,408,1.2,up,12.1,up
Mira Loma,Riverside,1,91752,411,379,8.4,up,90.5,up
Bodfish,Kern,1,93205,409,391,4.6,up,12.0,up
