city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Piru,Ventura,1,93040,94,73,28.8,up,114.7,up
San Juan Bautista,San Benito,1,95045,94,90,4.4,up,69.8,up
Pioneertown,San Bernardino,1,92268,93,83,12.0,up,40.7,up
Artesia,Los Angeles,1,90701,92,89,3.4,up,17.1,up
Hawaiian Gardens,Los Angeles,1,90716,92,92,0.0,flat,19.5,up
Lomita,Los Angeles,1,90717,92,92,0.0,flat,46.0,up
Stanton,Orange,1,90680,92,89,3.4,up,178.1,up
Oakley,Contra Costa,1,94561,91,87,4.6,up,81.2,up
Sunol,Alameda,1,94586,91,93,-2.2,down,25.7,up
Manhattan Beach,Los Angeles,1,90266,90,93,-3.2,down,82.4,up
Philo,Mendocino,1,95466,90,90,0.0,flat,11.1,up
Cypress,Orange,1,90630,89,95,-6.3,down,126.2,up
Earp,San Bernardino,1,92242,89,93,-4.3,down,158.3,up
Hanford,Kings,1,93230,89,109,-18.3,down,67.7,up
Boonville,Mendocino,1,95415,88,85,3.5,up,11.8,up
Tulare,Tulare,1,93274,88,86,2.3,up,26.5,up
Fall River Mills,Shasta,1,96028,87,87,0.0,flat,14.5,up
Pearblossom,Los Angeles,1,93553,87,88,-1.1,down,23.9,up
Yuba City,Sutter,2,"95991,95993",87,79,10.1,up,163.3,up
Dulzura,San Diego,1,91917,86,80,7.5,up,5.3,up
Inyokern,Kern,1,93527,86,84,2.4,up,68.0,up
Potrero,San Diego,1,91963,85,82,3.7,up,6.5,up
Bangor,Butte,1,95914,84,87,-3.4,down,20.8,up
Guatay,San Diego,1,91931,84,79,6.3,up,9.7,up
Manteca,San Joaquin,2,"95336,95337",84,83,1.2,up,50.9,up
San Martin,Santa Clara,1,95046,84,71,18.3,up,65.1,up
Calpine,Sierra,1,96124,83,81,2.5,up,-3.6,down
Kings Canyon National Pk,Fresno,1,93633,83,82,1.2,up,6.5,up
Albion,Mendocino,1,95410,82,77,6.5,up,8.5,up
Citrus Heights,Sacramento,2,"95610,95621",82,88,-6.8,down,214.3,up
Buellton,Santa Barbara,1,93427,81,83,-2.4,down,25.8,up
Creston,San Luis Obispo,1,93432,81,85,-4.7,down,18.1,up
Manton,Tehama,1,96059,81,75,8.0,up,-2.6,down
Summerland,Santa Barbara,1,93067,81,81,0.0,flat,68.8,up
Delano,Kern,1,93215,80,75,6.7,up,47.1,up
Lodi,San Joaquin,2,"95240,95242",80,77,3.9,up,185.2,up
Pala,San Diego,1,92059,80,88,-9.1,down,4.8,up
Happy Camp,Siskiyou,1,96039,79,81,-2.5,down,3.8,up
Marina Del Rey,Los Angeles,1,90292,79,80,-1.2,down,175.9,up
Llano,Los Angeles,1,93544,78,68,14.7,up,23.6,up
Meadow Valley,Plumas,1,95956,78,74,5.4,up,1.4,up
Shasta,Shasta,1,96087,78,75,4.0,up,38.9,up
Oakdale,Stanislaus,1,95361,77,68,13.2,up,51.1,up
Penngrove,Sonoma,1,94951,77,73,5.5,up,35.2,up
Forbestown,Butte,1,95941,76,80,-5.0,down,8.1,up
Greenfield,Monterey,1,93927,76,76,0.0,flat,5.6,up
Helendale,San Bernardino,1,92342,76,67,13.4,up,52.3,up
Hopland,Mendocino,1,95449,76,71,7.0,up,10.9,up
Hornbrook,Siskiyou,1,96044,76,72,5.6,up,56.5,up
Albany,Alameda,1,94706,75,76,-1.3,down,65.2,up
San Ysidro,San Diego,1,92173,75,68,10.3,up,172.0,up
Marina,Monterey,1,93933,74,71,4.2,up,42.0,up
Emigrant Gap,Placer,1,95715,73,74,-1.4,down,1.4,up
Mineral,Plumas,1,96063,73,77,-5.2,down,1.3,up
Atherton,San Mateo,1,94027,72,61,18.0,up,56.4,up
Norden,Placer,1,95724,71,69,2.9,up,21.1,up
Old Station,Shasta,1,96071,71,74,-4.1,down,12.1,up
Sloughhouse,Sacramento,1,95683,70,59,18.6,up,84.4,up
Woodlake,Tulare,1,93286,70,54,29.6,up,107.7,up
Blue Lake,Humboldt,1,95525,69,53,30.2,up,29.3,up
Coachella,Riverside,1,92236,69,58,19.0,up,75.8,up
Newberry Springs,San Bernardino,1,92365,69,67,3.0,up,91.4,up
Santa Clara,Santa Clara,3,"95050,95051,95054",69,68,1.5,up,106.1,up
Canyon Dam,Plumas,1,95923,68,67,1.5,up,1.5,up
Cardiff By The Sea,San Diego,1,92007,68,68,0.0,flat,142.9,up
Cassel,Shasta,1,96016,68,61,11.5,up,-3.2,down
Corona Del Mar,Orange,1,92625,66,65,1.5,up,116.7,up
Junction City,Trinity,1,96048,66,63,4.8,up,8.6,up
Mendota,Fresno,1,93640,66,70,-5.7,down,0.0,flat
Carlotta,Humboldt,1,95528,65,51,27.5,up,13.3,up
Los Olivos,Santa Barbara,1,93441,65,60,8.3,up,25.0,up
Rohnert Park,Sonoma,1,94928,65,73,-11.0,down,92.1,up
Santa Fe Springs,Los Angeles,1,90670,65,66,-1.5,down,40.4,up
Woodacre,Marin,1,94973,65,63,3.2,up,21.2,up
Burnt Ranch,Trinity,1,95527,64,68,-5.9,down,0.0,flat
Ceres,Stanislaus,1,95307,64,67,-4.5,down,109.4,up
Millville,Shasta,1,96062,64,68,-5.9,down,30.8,up
Point Reyes Station,Marin,1,94956,64,70,-8.6,down,37.3,up
Castroville,Monterey,1,95012,63,59,6.8,up,110.7,up
