effective_date,geo_type,geo_id,geo_name,status,source_id
2025-03-06,zip,93255,93255,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93461,93461,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93643,93643,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94021,94021,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94949,94949,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95076,95076,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95345,95345,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91360,91360,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92305,92305,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93010,93010,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93260,93260,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93465,93465,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93644,93644,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94060,94060,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94950,94950,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95141,95141,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95346,95346,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91361,91361,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92314,92314,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93011,93011,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93262,93262,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93510,93510,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93645,93645,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94074,94074,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94956,94956,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95221,95221,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95347,95347,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91362,91362,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92315,92315,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93012,93012,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93265,93265,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93512,93512,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93651,93651,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94503,94503,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94957,94957,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95222,95222,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95364,95364,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91377,91377,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92317,92317,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93015,93015,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93271,93271,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93517,93517,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93653,93653,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94508,94508,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94960,94960,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95223,95223,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95369,95369,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91384,91384,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92321,92321,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93021,93021,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93283,93283,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93518,93518,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93664,93664,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94515,94515,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94963,94963,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95224,95224,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95370,95370,distressed,cdi_distressed_geographies_2025
