zip,county,fair_plan_flag,cdi_flag,agree,fhsz_high_pct,total_policies_2023,fair_policies_current,penetration_pct,meets_criteria
91505,Los Angeles,0,0,1,4.1,8128,143,1.8,0
91506,Los Angeles,0,0,1,0.0,5344,103,1.9,0
91601,Los Angeles,0,0,1,0.0,4085,187,4.6,0
91602,Los Angeles,0,0,1,0.0,2610,87,3.3,0
91604,Los Angeles,0,0,1,62.6,6188,994,16.1,1
91605,Los Angeles,0,0,1,0.0,7378,440,6.0,0
91606,Los Angeles,0,0,1,0.0,6069,341,5.6,0
91607,Los Angeles,0,0,1,0.0,4268,111,2.6,0
91701,San Bernardino,0,0,1,9.5,11524,336,2.9,0
91702,Los Angeles,0,0,1,2.7,10189,774,7.6,0
91706,Los Angeles,0,0,1,2.0,12735,701,5.5,0
91708,San Bernardino,0,0,1,0.0,3216,188,5.8,0
91709,San Bernardino,0,0,1,15.9,20236,3043,15.0,1
91710,San Bernardino,0,0,1,0.0,18161,350,1.9,0
91711,Los Angeles,0,0,1,52.2,8831,472,5.3,0
91722,Los Angeles,0,0,1,0.0,7856,179,2.3,0
91723,Los Angeles,0,0,1,0.0,3378,96,2.8,0
91724,Los Angeles,0,0,1,40.3,6046,281,4.6,0
91730,San Bernardino,0,0,1,0.0,11427,151,1.3,0
91731,Los Angeles,0,0,1,0.0,4121,270,6.6,0
91732,Los Angeles,0,0,1,0.0,9040,502,5.6,0
91733,Los Angeles,0,0,1,0.0,6013,456,7.6,0
91737,San Bernardino,0,0,1,50.4,6549,465,7.1,0
91739,San Bernardino,0,0,1,28.8,9430,547,5.8,0
91740,Los Angeles,0,0,1,0.0,6062,190,3.1,0
91741,Los Angeles,0,0,1,43.9,7968,755,9.5,0
91744,Los Angeles,0,0,1,0.0,14574,906,6.2,0
91745,Los Angeles,0,0,1,44.9,13643,1074,7.9,0
91746,Los Angeles,0,0,1,0.0,5678,325,5.7,0
91748,Los Angeles,0,0,1,54.6,10071,967,9.6,0
91750,Los Angeles,0,0,1,23.9,9840,844,8.6,0
91752,Riverside,0,0,1,0.0,7740,423,5.5,0
91754,Los Angeles,0,0,1,0.0,7502,214,2.9,0
91755,Los Angeles,0,0,1,0.0,5091,165,3.2,0
91759,San Bernardino,1,1,1,3.3,257,147,57.2,1
91761,San Bernardino,0,0,1,0.0,13795,408,3.0,0
91762,San Bernardino,0,0,1,0.0,12427,370,3.0,0
91763,San Bernardino,0,0,1,0.0,6380,128,2.0,0
91764,San Bernardino,0,0,1,0.0,8695,264,3.0,0
91765,Los Angeles,0,0,1,45.8,11605,1876,16.2,1
91766,Los Angeles,0,0,1,1.7,12204,945,7.7,0
91767,Los Angeles,0,0,1,0.0,9092,369,4.1,0
91768,Los Angeles,0,0,1,8.3,5436,377,6.9,0
91770,Los Angeles,0,0,1,0.0,12857,683,5.3,0
91773,Los Angeles,0,0,1,29.6,8483,758,8.9,0
91775,Los Angeles,0,0,1,0.0,6612,122,1.8,0
91776,Los Angeles,0,0,1,0.0,6366,306,4.8,0
91780,Los Angeles,0,0,1,0.0,9242,235,2.5,0
91784,San Bernardino,0,0,1,24.0,9079,381,4.2,0
