zip,city,county,fy_2020,fy_2021,fy_2022,fy_2023,fy_2024
93636,Madera,Madera,3,13,14,35,74
94066,San Bruno,San Mateo,5,4,4,13,74
94586,Sunol,Alameda,28,27,39,47,74
95941,Forbestown,Butte,56,67,69,72,74
90803,Long Beach,Los Angeles,24,24,25,29,73
92805,Anaheim,Orange,22,28,29,28,73
93623,Fish Camp,Mariposa,48,59,69,71,73
93657,Sanger,Fresno,22,27,35,48,73
95041,Mount Hermon,Santa Cruz,0,0,0,0,73
95148,San Jose,Santa Clara,10,8,10,13,73
95715,Emigrant Gap,Placer,57,68,71,80,73
95956,Meadow Valley,Plumas,33,44,55,66,73
91931,Guatay,San Diego,0,0,0,0,72
93432,Creston,San Luis Obispo,30,50,49,58,72
93444,Nipomo,San Luis Obispo,16,23,23,33,72
93927,Greenfield,Monterey,24,35,60,71,72
94591,Vallejo,Solano,26,28,27,35,72
95914,Bangor,Butte,13,27,42,63,72
92660,Newport Beach,Orange,10,12,17,28,71
93553,Pearblossom,Los Angeles,16,18,20,40,71
95410,Albion,Mendocino,19,28,39,54,71
95492,Windsor,Sonoma,8,11,13,26,71
90230,Culver City,Los Angeles,54,50,51,54,70
91506,Burbank,Los Angeles,45,43,47,52,70
93640,Mendota,Fresno,6,12,8,11,70
94544,Hayward,Alameda,18,16,14,19,70
94564,Pinole,Contra Costa,6,5,4,15,70
94609,Oakland,Alameda,46,43,39,43,70
92075,Solana Beach,San Diego,2,7,7,16,69
92253,La Quinta,Riverside,14,10,11,15,69
92691,Mission Viejo,Orange,16,12,11,18,69
94597,Walnut Creek,Contra Costa,11,11,13,20,69
90603,Whittier,Los Angeles,33,43,42,49,68
91411,Van Nuys,Los Angeles,55,56,47,47,68
91902,Bonita,San Diego,27,19,22,33,68
92501,Riverside,Riverside,29,30,28,43,68
92782,Tustin,Orange,5,11,14,22,68
92801,Anaheim,Orange,26,24,22,29,68
93203,Arvin,Kern,22,22,24,30,68
93274,Tulare,Tulare,11,11,30,18,68
93451,San Miguel,San Luis Obispo,12,22,38,48,68
94590,Vallejo,Solano,38,37,38,50,68
95527,Burnt Ranch,Trinity,42,54,58,63,68
90807,Long Beach,Los Angeles,64,60,54,49,67
94704,Berkeley,Alameda,15,19,22,33,67
95203,Stockton,San Joaquin,60,53,52,51,67
96118,Loyalton,Sierra,18,17,23,34,67
91020,Montrose,Los Angeles,25,27,29,37,66
