zip,city,county,fy_2020,fy_2021,fy_2022,fy_2023,fy_2024
95374,Stevinson,Merced,0,0,0,0,4
95564,Samoa,Humboldt,0,0,0,2,4
95606,Brooks,Yolo,0,2,4,5,4
95616,Davis,Yolo,3,2,2,3,4
95668,Pleasant Grove,Sutter,0,0,0,1,4
95917,Biggs,Butte,0,1,1,2,4
95938,Durham,Butte,4,5,4,5,4
95951,Hamilton City,Glenn,0,0,0,1,4
96110,Eagleville,Modoc,0,0,0,0,4
90401,Santa Monica,Los Angeles,3,1,0,3,3
92275,Salton City,Imperial,0,0,0,0,3
92309,Baker,San Bernardino,0,0,1,3,3
92327,Daggett,San Bernardino,1,0,0,2,3
92662,Newport Beach,Orange,1,1,1,3,3
93202,Armona,Kings,0,0,2,3,3
93218,Ducor,Tulare,0,0,0,0,3
93272,Tipton,Tulare,1,1,2,1,3
93276,Tupman,Kern,0,1,1,2,3
93429,Casmalia,Santa Barbara,1,1,2,2,3
93461,Shandon,San Luis Obispo,2,3,3,3,3
93512,Benton,Mono,3,3,3,3,3
93549,Olancha,Inyo,0,0,0,0,3
93616,Del Rey,Fresno,0,0,2,1,3
93648,Parlier,Fresno,1,0,0,0,3
93668,Tranquillity,Fresno,1,1,1,1,3
93954,San Lucas,Monterey,0,0,0,0,3
94971,Tomales,Marin,0,2,3,3,3
95141,San Jose,Santa Clara,0,0,2,2,3
95237,Lockeford,San Joaquin,0,0,0,1,3
95258,Woodbridge,San Joaquin,1,1,1,1,3
95444,Graton,Sonoma,0,1,0,2,3
95674,Rio Oso,Sutter,1,1,1,2,3
95970,Princeton,Colusa,1,3,3,3,3
95987,Williams,Colusa,1,1,3,4,3
97635,,Lake,0,2,2,2,3
92266,Palo Verde,Imperial,0,0,0,0,2
92283,Winterhaven,Imperial,3,2,2,3,2
92617,Irvine,Orange,0,0,1,1,2
93224,Fellows,Kern,0,0,0,2,2
93239,Kettleman City,Kings,2,1,2,1,2
93242,Laton,Fresno,1,1,0,1,2
93624,Five Points,Fresno,0,0,0,0,2
93962,Spreckels,Monterey,0,0,0,0,2
94065,Redwood City,San Mateo,0,0,0,1,2
94111,San Francisco,San Francisco,0,1,1,1,2
95013,Coyote,Santa Clara,0,0,1,0,2
95130,San Jose,Santa Clara,0,0,1,0,2
95319,Empire,Stanislaus,0,0,0,0,2
95323,Hickman,Stanislaus,1,1,2,2,2
95324,Hilmar,Merced,0,0,1,1,2
95366,Ripon,San Joaquin,2,2,1,1,2
95385,Vernalis,Stanislaus,0,0,1,1,2
95830,Sacramento,Sacramento,0,0,0,1,2
95912,Arbuckle,Colusa,0,2,4,6,2
95915,Belden,Plumas,0,1,1,1,2
95982,Sutter,Sutter,0,0,1,2,2
96132,Termo,Lassen,0,0,0,1,2
92055,,,0,0,0,0,1
92259,Ocotillo,Imperial,2,2,2,1,1
92338,Ludlow,San Bernardino,0,0,0,0,1
92364,Nipton,San Bernardino,1,1,2,2,1
92389,Tecopa,Inyo,0,0,0,0,1
92518,March Air Reserve Base,Riverside,0,0,0,1,1
93234,Huron,Fresno,4,4,2,2,1
93435,Harmony,San Luis Obispo,1,1,1,2,1
93558,Red Mountain,San Bernardino,0,0,0,0,1
93606,Biola,Fresno,0,0,0,0,1
93608,Cantua Creek,Fresno,2,1,2,3,1
94130,San Francisco,San Francisco,1,1,1,1,1
94512,Birds Landing,Solano,1,1,1,1,1
94720,Berkeley,Alameda,0,0,0,0,1
95303,Ballico,Merced,1,1,1,1,1
95313,Crows Landing,Stanislaus,2,2,1,1,1
95439,Fulton,Sonoma,0,0,0,0,1
95612,Clarksburg,Yolo,1,0,0,1,1
95645,Knights Landing,Sutter,0,0,0,1,1
95655,Mather,Sacramento,0,0,0,0,1
95698,Zamora,Yolo,1,1,1,1,1
95837,Sacramento,Sacramento,0,0,0,0,1
95937,Dunnigan,Yolo,1,1,1,1,1
95957,Meridian,Sutter,2,2,2,1,1
96119,Madeline,Lassen,1,3,4,2,1
96136,Wendel,Lassen,0,0,1,0,1
90071,,,0,0,1,1,0
90095,,,0,0,1,1,0
91210,Glendale,Los Angeles,,0,0,0,0
91330,,,1,0,0,0,0
92140,San Diego,San Diego,,0,0,0,0
92145,San Diego,San Diego,,0,0,0,0
92304,,,1,0,0,0,0
92310,Fort Irwin,San Bernardino,,0,0,0,0
92332,,,0,0,0,0,0
92384,Shoshone,Inyo,,0,0,0,0
93266,Stratford,Kings,,0,0,0,0
93437,Lompoc,Santa Barbara,0,0,0,0,0
93554,Randsburg,Kern,0,0,0,0,0
93627,,,0,0,0,0,0
93652,,,1,1,1,0,0
93666,Sultana,Tulare,,0,0,0,0
93673,Traver,Tulare,,0,0,0,0
93944,,,0,0,0,0,
94128,,,0,0,0,1,0
94129,,,0,0,0,0,0
94548,Knightsen,Contra Costa,0,0,0,0,
94613,Oakland,Alameda,,,,,
94972,Valley Ford,Sonoma,0,0,0,1,0
95113,,,0,0,0,0,0
95253,Victor,San Joaquin,,0,0,0,0
95615,Courtland,Sacramento,0,0,0,0,0
95653,Madison,Yolo,,,,,
95659,Nicolaus,Sutter,0,2,1,0,0
95686,Thornton,San Joaquin,,0,0,0,0
95920,,,0,0,0,1,0
95955,,,1,1,1,1,0
96059,Manton,Tehama,0,0,39,47,0
96123,,,1,0,0,0,0
